Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_pkr,city,experience_years
Call Center Agent,,Full Time/Permanent,"Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Bahawalpur,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,10-Jan-25,Fresh,Bachelors,Female,18 - 26 Years,"Handle Outbound Calls, Fluent in English, Confidential Documents Handling, Product Distribution Skills",,Multan,
Assistant Manager Production,"PKR. 90,000 - 125,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,7-Jan-25,,Bachelors,Male,27 - 35 Years,"Production Coordination, Injection Molding Knowledge, CNC Machine Knowledge",107500.0,Karachi,
Sales / Marketing Executive,"PKR. 25,000 - 50,000/Month",Full Time/Permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,10-Jan-25,Fresh,Matriculation/O-Level,Female,,"Event Marketing Strategies, End to End Sales, Sales Management, Communication Skills",37500.0,Korangi Industrial Area,
General Manager Treasury / Revenues Assurance,,Full Time/Permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Department Head,31-Dec-24,,Masters,No Preference,,"Investment Management, Cash flow Analysis, Cash Flow Management, Strategic Finance, Budgeting Skills, Revenue Analysis, Treasury Management",,Rawalpindi,
Assistant Manager Regulatory Affairs,"PKR. 60,000 - 90,000/Month",Full Time/Permanent,"Quaid-e-Azam Industrial Estate, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Legal Affairs,Experienced Professional,9-Jan-25,4 Years (Pharmaceutical Experience will be preferred),Pharm-D,Female,,"Dossier Preparation, Interpersonal Leadership, Regulatory Affairs Handling",75000.0,Quaid-e-Azam Industrial Estate,4.0
Deputy Manager HR,,Full Time/Permanent,"Gujrat,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,1-Jan-25,,Masters,Male,,"Payroll Management, Recruitment Skills, Data Analysis, Database Management",,Gujrat,
Assistant Manager IT Support – Technical,"PKR. 80,000 - 80,000/Month",Full Time/Permanent,"Gujrat,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,1-Jan-25,,Bachelors,Male,,"IT Service Delivery, Network Switching, IT Support Responsibilities",80000.0,Gujrat,
Customer Service Representative / Closer,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Experienced Professional,10-Jan-25,,Bachelors,No Preference,18 - 28 Years,"Fluent in English, Customer Analysis, Compliance Assurance, Customer Satisfaction Management, Customer Care Representation",37500.0,Gulberg 3,
Purchaser,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Entry Level,10-Jan-25,,Intermediate/A-Level,Male,20 - 35 Years,"Communications Skills, Pricing Negotiation Skills, Purchase Procurement Knowledge",45000.0,Karachi,
Sales Executive,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Sargodha,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,10-Jan-25,Fresh,Bachelors,Male,22 - 30 Years,"Sales Growth, Marketing Strategies, Sales Management",25000.0,Sargodha,
Fleet Officer,"PKR. 60,000 - 60,000/Month",Full Time/Permanent,"Kharian,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,1-Jan-25,,Bachelors,Male,,"Team Management, Risk Management, Fleet Operations Management, Vehicle Maintenance",60000.0,Kharian,
HR Executive,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,10-Jan-25,3 Years,Bachelors,No Preference,,"Communication Skills, HR Information Management, Payroll Processing, Payroll Management",,Lahore,3.0
Nurse,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Entry Level,10-Jan-25,1 Year,Bachelors,Male,,"Patient Coordination, Hospital Managemen, Communication Skills",55000.0,Karachi,1.0
Compressor Technician,"PKR. 45,000 - 50,000/Month",Full Time/Permanent,"Industrial Estate Multan, 
                                                                                                                                                                                                                                                                                                            Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Maintenance/Repair,Entry Level,10-Jan-25,1 Year,Diploma,Male,,"Safety Committee, Machinery Repairing Skills, Maintenance Management, Machine Operations Handling, Equipment Maintenance",47500.0,Industrial Estate Multan,1.0
Site Surveyor / Supervisor,"PKR. 90,000 - 125,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Experienced Professional,10-Jan-25,5 Years,Diploma,Male,30 - 45 Years,"Engineering Drawings, Leveling, Field Surveying, Civil Supervistion, Construction Site Management",107500.0,Karachi,5.0
Deputy Manager Fleet,"PKR. 80,000 - 100,000/Month",Full Time/Permanent,"Kharian,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,1-Jan-25,,Bachelors,Male,,"Fleet Optimization, Fleet Operations Management, Time Management Skills, Maintenance Knowledge, Technical Skills",90000.0,Kharian,
HR Executive,"PKR. 50,000 - 80,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,10-Jan-25,3 Years,Bachelors,Male,,"Admin Task Planning, Attendance Systems Knowledge, Payroll Management, Recruitment Tools Command",65000.0,Karachi,3.0
Digital Marketing Expert,,Part Time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,10-Jan-25,,Bachelors,No Preference,,"Lead Management, Blog Marketing, Social Media Handling, CRM Command, Digital Marketing Management, Time Management",,Islamabad,
Manager Operations,"PKR. 150,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,10-Jan-25,10 Years (Non Profit Making Organization),Masters,No Preference,,"Report Management, Procurement Contracts  Management, Administrative Management, Operations Management, Admin Tasks Management",,Islamabad,10.0
Customer Sales Representative,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,10-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Cold  Calling, Call Handling, Fluent in English, Sales Management",,Karachi,1.0
Security Guard,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Experienced Professional,10-Jan-25,,Matriculation/O-Level,No Preference,,"Weapons Handling, Security Awareness, Security Operations",35000.0,Lahore,
Regional Manager Finance,"PKR. 125,000 - 150,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,10-Jan-25,5 Years,Certification,No Preference,32 - 45 Years,"Payroll Process, MS Excel, Taxation Knowledge",137500.0,Lahore,5.0
Amazon FBA Conversion Specialist / Account Manager,"PKR. 80,000 - 200,000/Month",Full Time/Permanent,"Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,23-Dec-24,3 Years,Bachelors,No Preference,,"SKU Metrics, Amazon FBA Knowledge, Amazon Operations Management",140000.0,Faisalabad,3.0
3D Blender Artist,,Full Time/Permanent,"Cantt, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,9-Jan-25,1 Year,Intermediate/A-Level,Male,18 - 30 Years,"3D Creative Skills, 3D Rendering, Texturing and Shading",,Cantt,1.0
2D Artist / Illustrator,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,9-Jan-25,2 Years,Bachelors,No Preference,,"2D Art, Adobe Illustrator, 2D Graphics",,Islamabad,2.0
Quantity Surveyor,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Entry Level,9-Jan-25,,Bachelors,Male,22 - 30 Years,"Communication Skills, Store Management, Solar Industry Skills, Computer Graphics Knowledge, Quantity Surveying",37500.0,Lahore,
Email Corresponding Executive,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Abdalian City, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,8-Jan-25,1 Year,Bachelors,No Preference,,"Leads Generation, Email List Generation, Data Management",50000.0,Abdalian City,1.0
Email Support Executive,"PKR. 15,000 - 20,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,8-Jan-25,,Intermediate/A-Level,Female,18 - 35 Years,"Email Campaign Handling, Admin Operations Management, Email Etiquette, Fluent in English",17500.0,Lahore,
Sales Officer - Tea,"PKR. 20,000 - 20,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,10-Jan-25,,Matriculation/O-Level,Male,,"Sales Management, End to End Sales, Communication Skills",20000.0,Islamabad,
Full Stack Developer - Nuxt.js / Nest.js,,Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,10-Jan-25,,Bachelors,No Preference,,"Server Configuration, System Architecture, RESTful APIs, Nest.js, Nuxt.js",,Johar Town,
Trainee CAD Engineer,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Nazimabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Entry Level,10-Jan-25,,,Male,,"CAD, Solid Works, AutoCAD, 2D CAD Modeling",35000.0,Nazimabad,
English Teacher,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"Gulistan-e-Johar, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Entry Level,10-Jan-25,,Masters,No Preference,25 - 50 Years,"Team Building, Fluent in English, Teacher Evaluation",27500.0,Gulistan-e-Johar,
Social Media Marketing Executive - Meta Ads Expert,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Model Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,10-Jan-25,,Certification,No Preference,,"Social Media Marketing, Meta Ads, Linked Analytics, Keyword Research, Google Ads",52500.0,Model Town,
GraphQL Engineer Expert,"PKR. 25,000 - 25,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,9-Jan-25,5 Years,Bachelors,No Preference,,"GraphQL, TypeScript, NodeJs",25000.0,Islamabad,5.0
Video Editor,,Full Time/Permanent,"Cantt, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,9-Jan-25,1 Year,Matriculation/O-Level,Male,18 - 30 Years,"Video Editing Techniques, DaVinci Resolve, Adobe Premiere Pro",,Cantt,1.0
Video Editor,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Quetta,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,9-Jan-25,Less than 1 Year,Matriculation/O-Level,Female,,"Video Editing Techniques, Adobe Photoshop, Corel Draw",65000.0,Islamabad,1.0
Graphic Desiger,,Part Time,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,20-Jan-25,1 Year,Matriculation/O-Level,No Preference,,"3D Creative Skills, 2D Graphics, Graphics Editing",,Rawalpindi,1.0
Junior / Senior Sales Partner,"PKR. 70,000 - 150,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,10-Jan-25,,Intermediate/A-Level,No Preference,,"Sales Management, Client Relations  Management, Fluent in English",110000.0,Islamabad,
Customer Service Representative,"PKR. 80,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,9-Jan-25,,Intermediate/A-Level,Female,20 - 30 Years,"Travels Knowledge, Cold  Calling, Fluent in English",140000.0,Islamabad,
Call Center Agent,,Part Time,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,20-Jan-25,Fresh,Matriculation/O-Level,No Preference,,"Listening to Customers, Telemarketing Skills, Communication Skills, Fluent in English",,Rawalpindi,
Web Developer,"PKR. 14,000 - 25,000/Month",Full Time/Permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,20-Jan-25,1 Year,Matriculation/O-Level,No Preference,,"PSD to WordPress, HTML, Javascript, PHP",19500.0,Rawalpindi,1.0
Video Editor,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,9-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Final Cut Pro, Video Editing Techniques, Adobe Pro",65000.0,Islamabad,1.0
Shift Manager,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"Buckinghamshire,
                                                                                                                                                                                                                                                                                                                                                                                        Greater London,
                                                                                                                                                                                                                                                                                                                                                                                        Greater Manchester,
                                                                                                                                                                                                                                                                                                                                                                                        Leicestershire,
                                                                                                                                                                                                                                                                                            United Kingdom",Operations,Entry Level,9-Jan-25,1 Year,Bachelors,No Preference,,"Shift Handling, Inventory Management, Hands on Problem Solving",27500.0,Buckinghamshire,1.0
Python Developer,"PKR. 30,000 - 50,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Gujrat,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,9-Jan-25,2 Years,Bachelors,No Preference,,"Docker, Artificial Intelligence, Python, MS SQL Server, MongoDB, RAG, Large Language Models",40000.0,Lahore,2.0
Assistant Accountant,"PKR. 35,000 - 45,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,9-Jan-25,,Bachelors,No Preference,,"MS Office, Reconciliation, Accounting, Payroll Process",40000.0,Johar Town,
IT Support Executive,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Liaqatabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,9-Jan-25,2 Years,Diploma,Male,,"Microsoft Office, Software Support, Network Support, IT Support Responsibilities, Server Support",35000.0,Liaqatabad,2.0
Accounts Officer,"PKR. 20,000 - 50,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,1-Jan-25,1 Year,Certification,Female,20 - 30 Years,"Payroll Process, Accounting, Financial Accounting",35000.0,Karachi,1.0
Sales Representative,"PKR. 25,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,8-Jan-25,1 Year,Bachelors,Male,,"Sales Growth, Sales Management, End to End Sales, Communication Skills",32500.0,Lahore,1.0
Chief Operational Officer,"PKR. 30,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Entry Level,8-Jan-25,Fresh,,No Preference,,"Admin Operations Management, Operations Control, MIT Knowledge, Data Comparison, تقييم المناهج الدراسية",65000.0,Islamabad,
Financial Accountant,,Full Time/Permanent,"Allama Iqbal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,8-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Financial Accounting, Financial Statement Analysis, Financial Analysis",,Allama Iqbal Town,2.0
